product_name,brand,declared_allergens,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,source_dataset
Crunchy Nut Granola,Kellogg's,"en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Céréales All Bran Kellogg's Fibre Plus,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Céréales Extra Kellogg's Pépites Chocolat au lait,Kellogg's,"en:gluten, en:milk, en:soybeans",True,True,False,True,False,False,Declared allergens + Dietary restrictions
Céréales Extra Pepites Kellogg's Chocolat au lait,Kellogg's,"en:gluten, en:milk, en:soybeans",True,True,False,True,False,False,Declared allergens + Dietary restrictions
Céréales Extra Pépites Chocolat Noisettes,Kellogg's,"en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Céréales Frosties,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Céréales Miel Pops,Kellogg's,"en:gluten, en:milk, en:soybeans",True,True,False,True,False,False,Declared allergens + Dietary restrictions
Céréales Special K Kellogg's Nature,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,"en:gluten, en:milk, en:nuts",True,True,True,False,False,False,Declared allergens + Dietary restrictions
Extra chocolate y avellanas,Kellogg's,"en:gluten, en:milk, en:nuts, en:soybeans, es:avena",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Froot Loops,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Frosties,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Kellogg's Tresor,Kellogg's,"en:gluten, en:milk, en:nuts",True,True,True,False,False,False,Declared allergens + Dietary restrictions
Kelloggs Fruit & Fibre 700g,Kellogg's,"en:apple, en:banana, en:gluten, en:nuts",True,False,True,False,False,False,Declared allergens + Dietary restrictions
Raisin Wheats,Kellogg's,,False,False,False,False,False,False,Dietary restrictions
Rice crispies multigrain shapes,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Special K,Kellogg's,"en:gluten, en:milk",True,True,False,False,False,False,Declared allergens + Dietary restrictions
Special K Chocolat Noir,Kellogg's,"en:gluten, en:milk",True,True,False,False,False,False,Declared allergens + Dietary restrictions
Special K Granola con avena Dark chocolate,Kellogg's,"en:gluten, en:milk, en:soybeans, es:avena",True,True,False,True,False,False,Declared allergens + Dietary restrictions
Special K High Protein,Kellogg's,"en:gluten, en:milk, en:nuts, en:peanuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Special K The Original,Kellogg's,"en:gluten, en:gluten",True,False,False,False,False,False,Declared allergens + Dietary restrictions
Special k chocolat au lait,Kellogg's,"en:gluten, en:milk, en:soybeans",True,True,False,True,False,False,Declared allergens + Dietary restrictions
Tresor - Choco Nut,Kellogg's,"en:gluten, en:milk, en:nuts, de:haselnussgeschmack",True,True,True,False,False,False,Declared allergens + Dietary restrictions
Trésor Chocolat au Lait,Kellogg's,"en:gluten, en:milk, en:soybeans",True,True,False,True,False,False,Declared allergens + Dietary restrictions
coco pops,Kellogg's,en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Céréales Extra Pepites Kellogg's Choco Noisettes,"Kellogg's, Extra, pépites","en:gluten, en:milk, en:nuts, en:soybeans",True,True,True,True,False,False,Declared allergens + Dietary restrictions
Pringles Original,"Kellogg's, Pringles",en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
Smacks,"Kellogg's, Smacks",en:gluten,True,False,False,False,False,False,Declared allergens + Dietary restrictions
